Reporting starts,Reporting ends,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,shop_clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Cost per landing page view (USD)
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,20,1.15,,62,Daily,1.39,Ongoing,-,-,-,23,60.434783,1.0,,1.39,4.347826,1,4.347826,1.39,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,36,1.111111,,62,Daily,1.36,Ongoing,-,-,-,40,34.0,3.0,,0.453333,7.5,3,7.5,0.453333,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,17,1.058824,,62,Daily,4.1,Ongoing,-,-,-,18,227.777778,2.0,,2.05,11.111111,3,16.666667,1.366667,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,69,1.231884,,62,Daily,5.85,Ongoing,-,-,-,85,68.823529,5.0,,1.17,5.882353,8,9.411765,0.73125,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,54,1.166667,,62,Daily,3.82,Ongoing,-,-,-,63,60.634921,1.0,,3.82,1.587302,1,1.587302,3.82,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,24,1.041667,,62,Daily,0.93,Ongoing,-,-,-,25,37.2,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,6,1.0,,31,Daily,0.52,Ongoing,-,-,-,6,86.666667,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,17,1.294118,,31,Daily,0.62,Ongoing,-,-,-,22,28.181818,,,,,1,4.545455,0.62,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,4,1.0,,62,Daily,0.1,Ongoing,-,-,-,4,25.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 4,archived,"7-day click, 1-day view, or 1-day engaged-view",,,93,1.021505,,62,Daily,0.29,Ongoing,-,-,-,95,3.052632,,,,,0,0.0,0.0,,
