Unique ID,Join Date,Last Source Date,First source,Last source
364188-124,2026-02-03 01:21:00,2026-02-12 20:57:00,@yt_1_2_2026,@brave_organic
526083-125,2026-02-02 22:23:00,2026-02-02 22:05:00,@kedeisha-test-ads,@yt_bio
645227-126,2026-02-02 21:39:00,2026-02-02 22:45:00,@yt_10_2_2025,@yt_10_2_2025
788975-127,2026-02-02 19:16:00,-,-,-
640640-128,2026-02-02 19:01:00,2026-02-02 18:53:00,@all-combined-targetscreatives,@all-combined-targetscreatives
767508-129,2026-02-02 18:35:00,-,-,-
276751-130,2026-02-02 17:25:00,-,-,-
114465-131,2026-02-02 16:13:00,2026-01-29 09:13:00,@all-combined-targetscreatives,@all-combined-targetscreatives
576575-132,2026-02-02 15:14:00,2026-02-02 14:52:00,@all-combined-targetscreatives,@all-combined-targetscreatives
520316-133,2026-02-02 15:11:00,-,-,-
844611-134,2026-02-02 15:07:00,-,-,-
712072-135,2026-02-02 14:56:00,-,-,-
100858-136,2026-02-02 14:31:00,2026-02-02 14:17:00,@yt_2_2_2026,@yt_2_2_2026
588220-137,2026-02-02 14:04:00,-,-,-
281542-138,2026-02-02 13:52:00,2026-02-02 14:18:00,@yt_10_2_2025,@yt_10_2_2025
132264-139,2026-02-02 12:18:00,2026-02-02 20:41:00,@all-combined-targetscreatives,@google_organic
120586-140,2026-02-02 12:02:00,2026-02-02 10:48:00,@yt_bio,@google_organic
604514-141,2026-02-02 09:01:00,2026-02-02 07:49:00,@all-combined-targetscreatives,@all-combined-targetscreatives
897368-142,2026-02-02 08:48:00,2026-02-02 16:55:00,@all-combined-targetscreatives,@google_organic
981948-143,2026-02-02 05:32:00,2026-02-02 05:28:00,@all-combined-targetscreatives,@all-combined-targetscreatives
409906-144,2026-02-02 03:53:00,-,-,-
338735-145,2026-02-02 00:41:00,2026-02-03 01:02:00,@yt_10_2_2025,@yt_10_2_2025
570848-146,2026-02-01 23:47:00,2026-02-01 23:42:00,@all-combined-targetscreatives,@all-combined-targetscreatives
950474-147,2026-02-01 21:50:00,2026-02-01 21:50:00,@all-combined-targetscreatives,@all-combined-targetscreatives
866700-148,2026-02-01 21:34:00,2026-02-09 20:54:00,@all-combined-targetscreatives,@all-combined-targetscreatives
230920-149,2026-02-01 21:32:00,-,-,-
920887-150,2026-02-01 21:03:00,-,-,-
